timestamp_ms,accelX,accelY,accelZ,gyroX,gyroY,gyroZ,pressureHPa,altitudeM,filteredHeight,filteredVelocity,imuVelocityPrediction,predictedApogeeM,servoCommand
216,0.20350714,9.773131371,0.615309834,-0.00319755,0.054091886,-0.014921899,1032.941284,0.12168429,0.134297237,0.092139348,0,0,0
226,0.251391172,9.761159897,0.591367841,-0.004529862,0.05595712,-0.015987748,1032.941284,0.12168429,0.133612856,0.089361235,0,0,0
236,0.213083953,9.775525093,0.63206923,-0.003996937,0.053558957,-0.017053599,1032.941284,0.12168429,0.134505555,0.089180008,0,0,0
246,0.258573771,9.749189377,0.67037648,-0.004529862,0.05249311,-0.015721286,1032.941284,0.12168429,0.135396451,0.088998578,0,0,0
256,0.234631762,9.770736694,0.66798228,-0.0042634,0.051960181,-0.017586524,1032.941284,0.12168429,0.136285529,0.088817045,0,0,0
266,0.215478152,9.799467087,0.675164878,-0.004529862,0.052226644,-0.016254211,1032.941284,0.12168429,0.135328129,0.085607328,0,0,0
276,0.208295554,9.789890289,0.675164878,-0.003730475,0.050894335,-0.015721286,1032.941284,0.12168429,0.136183143,0.0853967,0,0,0
286,0.18435353,9.756371498,0.651222885,-0.003996937,0.051960181,-0.015454824,1032.941284,0.12168429,0.137036055,0.085185841,0,0,0
296,0.217872351,9.801861763,0.672770679,-0.00319755,0.052759573,-0.015987748,1032.941284,0.12168429,0.137886852,0.084974773,0,0,0
306,0.248996973,9.765948296,0.603338838,-0.002398162,0.054091886,-0.016254211,1032.941284,0.12168429,0.136696056,0.081400461,0,0,0
316,0.268150598,9.730035782,0.672770679,-0.003996937,0.053825419,-0.016254211,1032.941284,0.12168429,0.137508839,0.081157133,0,0,0
326,0.239420176,9.753977776,0.634463429,-0.003996937,0.052226644,-0.014388974,1032.941284,0.12168429,0.138319194,0.080913492,0,0,0
336,0.208295554,9.785101891,0.672770679,-0.003730475,0.049828485,-0.017053599,1032.941284,0.12168429,0.139127105,0.080669701,0,0,0
346,0.18674773,9.751583099,0.644040287,-0.002398162,0.049029093,-0.017586524,1032.941284,0.12168429,0.137740552,0.076795727,0,0,0
356,0.191536129,9.835380554,0.59615624,-0.002931087,0.048762634,-0.017053599,1032.941284,0.12168429,0.138507128,0.076517232,0,0,0
366,0.18435353,9.753977776,0.648828685,-0.003464012,0.048496172,-0.016787136,1032.941284,0.12168429,0.139270902,0.076238565,0,0,0
376,0.172382519,9.770736694,0.684741676,-0.003464012,0.049295556,-0.015454824,1032.941284,0.12168429,0.140031889,0.075959645,0,0,0
386,0.196324542,9.763554573,0.672770679,-0.00319755,0.05249311,-0.014655436,1032.941284,0.12168429,0.138485283,0.071848258,0,0,0
396,0.248996973,9.749189377,0.579396784,-0.004529862,0.05249311,-0.014655436,1032.941284,0.12168429,0.139202192,0.071532294,0,0,0
406,0.227449164,9.768342972,0.545877993,-0.003464012,0.051693719,-0.014388974,1032.941284,0.12168429,0.139915943,0.071215987,0,0,0
416,0.272938997,9.761159897,0.600944638,-0.002664625,0.050627869,-0.015188362,1032.941284,0.12168429,0.14062652,0.07089939,0,0,0
426,0.239420176,9.751583099,0.605733037,-0.003730475,0.049828485,-0.016787136,1032.941284,0.12168429,0.138953581,0.066609934,0,0,0
436,0.265756398,9.797073364,0.634463429,-0.003996937,0.050094947,-0.017053599,1032.941284,0.12168429,0.139617905,0.066255152,0,0,0
446,0.237025961,9.81143856,0.636857629,-0.002664625,0.051960181,-0.014921899,1032.941284,0.12168429,0.140278682,0.065900058,0,0,0
456,0.215478152,9.801861763,0.615309834,-0.003464012,0.055424199,-0.014921899,1032.941284,0.12168429,0.140935913,0.065544628,0,0,0
466,0.198718742,9.727641106,0.608127236,-0.00319755,0.056223582,-0.014921899,1032.943726,0.101571091,0.136721775,0.057036221,0,0,0
