timestamp_ms,accelX,accelY,accelZ,gyroX,gyroY,gyroZ,imuTemp,baroTemp,pressureHPa,humidity,altitudeM
679,0.47165772318840027,-0.38067805767059326,10.357316970825195,-0.002797855995595455,0.051160797476768494,-0.01945176161825657,42.93000030517578,25.200000762939453,1018.729248046875,71.876953125,-45.51872634887695
787,0.4118026793003082,-0.38067805767059326,10.357316970825195,-0.004796324297785759,0.051027562469244,-0.01532159186899662,42.97705841064453,25.15999984741211,1018.6984252929688,71.857421875,-45.263397216796875
895,0.47405192255973816,-0.363918662071228,10.38844108581543,-0.007061255630105734,0.04756355285644531,-0.015454824082553387,42.93000030517578,25.15999984741211,1018.6950073242188,71.857421875,-45.2353630065918
1003,-0.3232172429561615,-0.22266076505184174,10.409989356994629,-0.019185297191143036,0.053292494267225266,-0.11018224060535431,42.788822174072266,25.170000076293945,1018.6898193359375,71.859375,-45.19230651855469
1111,-1.173158884048462,-2.2697031497955322,14.408306121826172,1.4007933139801025,-1.4001270532608032,-0.654964804649353,42.788822174072266,25.18000030517578,1018.69287109375,71.8720703125,-45.21733856201172
1219,3.7277719974517822,2.4444799423217773,12.239158630371094,3.3996615409851074,-2.512075185775757,-0.6412419676780701,42.97705841064453,25.18000030517578,1018.6873168945312,71.8623046875,-45.11520767211914
1327,4.6734819412231445,5.497087001800537,5.784391403198242,3.3377091884613037,-4.365721225738525,-0.20077946782112122,42.741764068603516,25.190000534057617,1018.6863403320312,71.83984375,-45.16326904296875
1435,5.985504150390625,5.286397457122803,0.768538773059845,2.5994746685028076,-1.1929525136947632,-0.7018621563911438,42.788822174072266,25.200000762939453,1018.681884765625,71.86328125,-45.126220703125
1543,5.975927352905273,6.746860504150391,-0.1628057211637497,1.562935709953308,0.3505313992500305,-0.49801838397979736,42.93000030517578,25.209999084472656,1018.6807861328125,72.212890625,-45.117210388183594
1651,4.261679172515869,5.188235282897949,-1.4293384552001953,1.8964134454727173,1.3317794799804688,-0.37011638283729553,42.97705841064453,25.209999084472656,1018.6748657226562,71.865234375,-45.068145751953125
1769,5.295974254608154,6.868964672088623,-2.293645143508911,0.27072587609291077,1.9016095399856567,-0.45365238189697266,42.741764068603516,25.209999084472656,1018.6696166992188,71.865234375,-45.025089263916016
1878,4.034229755401611,7.733271598815918,-0.2992752194404602,-1.1716355085372925,2.8440871238708496,-2.1189095973968506,42.788822174072266,25.219999313354492,1018.665283203125,71.8447265625,-44.98904037475586
1986,1.8315643072128296,9.296685218811035,2.1523873805999756,0.12057426571846008,1.6970995664596558,-1.2124043703079224,43.11823654174805,25.219999313354492,1018.6600952148438,72.2607421875,-44.94598388671875
2094,4.084507942199707,10.587160110473633,3.2848446369171143,-1.1224732398986816,1.3857381343841553,1.4542189836502075,42.788822174072266,25.219999313354492,1018.655029296875,71.8349609375,-44.903926849365234
2202,4.922478675842285,9.528923034667969,3.555389642715454,-1.4731378555297852,0.7582190036773682,1.1673721075057983,42.97705841064453,25.219999313354492,1018.65234375,71.845703125,-44.881900787353516
2310,4.067748546600342,9.742006301879883,5.542576789855957,-0.5298606157302856,0.2656630873680115,-0.3555941879749298,42.83588409423828,25.229999542236328,1018.6548461914062,71.845703125,-44.90192413330078
2418,3.7158010005950928,8.2312650680542,4.484339714050293,0.03903675079345703,0.15188361704349518,-0.09113016724586487,42.788822174072266,25.229999542236328,1018.6497802734375,71.8564453125,-44.85987091064453
2526,2.9161376953125,8.252813339233398,4.431667327880859,-0.09019754827022552,0.3767779469490051,-0.1879892796278,42.93000030517578,25.229999542236328,1018.6521606445312,71.8466796875,-44.87989807128906
2634,2.6815059185028076,8.456320762634277,5.161899089813232,-0.22103063762187958,0.23182235658168793,-0.058888208121061325,42.83588409423828,25.229999542236328,1018.6581420898438,71.8583984375,-44.929962158203125
2742,2.846705913543701,8.274360656738281,5.341464042663574,-0.04463246464729309,0.13389739394187927,0.0009326186846010387,42.93000030517578,25.229999542236328,1018.6564331054688,71.8583984375,-44.90092468261719
